https://gain.fas.usda.gov/Recent%20GAIN%20Publications/Coffee%20Semi-annual_Sao%20Paulo%20ATO_Brazil_11-5-2018.pdf
Arabica	Coffee	Prices	on	the	Domestic	Market	(Real,	60kg/bag)
Month	2014	2015	2016	2017	2018
January	289.44	465.92	491.31	514.23	446.42
February	366.32	459.99	489.82	508.65	438.32
March	437.24	447.10	491.06	485.92	429.81
April	449.45	445.69	466.71	467.63	430.71
May	429.28	421.95	460.36	455.69	451.01
June	396.74	424.02	484.87	445.85	452.01
July	387.87	414.50	498.52	451.90	439.25
August	437.19	454.98	479.03	458.76	421.14
September	433.52	456.95	502.94	453.46	415.39
October	480.12	478.11	511.07	445.95	455.90
November	460.95	468.39	556.74	452.87	0
December	455.20	479.32	501.80	447.36	0
