YEAR	Month	Flux	Sunspot
1947	2	202.75	188.9
1947	3	226.29	183.8
1947	4	264.15	212.1
1947	5	261.17	285
1947	6	217.54	232.1
1947	7	207.23	223.5
1947	8	231.21	267.4
1947	9	192.03	239.9
1947	10	209.05	231.7
1947	11	179.83	181.3
1947	12	176.43	164.9
1948	1	149.91	153.6
1948	2	134.27	122
1948	3	135.54	134.3
1948	4	208.15	268.5
1948	5	226.46	246.4
1948	6	195.54	237.5
1948	7	182.76	201.4
1948	8	172.83	223.7
1948	9	163.73	202.9
1948	10	159.15	192.9
1948	11	165.41	135.6
1948	12	193.33	195.3
1949	1	176.73	168.6
1949	2	220.25	258
1949	3	203.91	223
1949	4	182.54	208.1
1949	5	148.92	150.4
1949	6	157.54	172.4
1949	7	159.87	178.3
1949	8	175.16	175.3
1949	9	172.49	205.8
1949	10	178.19	186.3
1949	11	180.38	203.2
1949	12	165.2	166.6
1950	1	150.74	143.9
1950	2	143.3	134.3
1950	3	137.83	155.4
1950	4	164.29	160.6
1950	5	157.09	150.5
1950	6	128.72	118.3
1950	7	127.05	128.9
1950	8	120.88	120.6
1950	9	98.51	72.7
1950	10	95.35	87
1950	11	101.9	77.7
1950	12	101.11	76.7
1951	1	103.23	85
1951	2	101.84	84.8
1951	3	102.47	79.3
1951	4	121.53	131.7
1951	5	168.56	153.7
1951	6	161.75	142.4
1951	7	116.35	87.2
1951	8	109.78	86.5
1951	9	117.78	117.7
1951	10	106.02	73.3
1951	11	104.35	74.2
1951	12	98.3	65
1952	1	91.24	57.9
1952	2	86.17	32.4
1952	3	74.95	31.5
1952	4	83.91	41.7
1952	5	80.82	33.6
1952	6	82	52
1952	7	88.81	56.1
1952	8	93.21	77.8
1952	9	78.44	40.4
1952	10	82.76	34.2
1952	11	83.35	31.8
1952	12	85.66	48.9
1953	1	79.52	37.9
1953	2	69.32	5.9
1953	3	66.86	14.7
1953	4	80.91	39.6
1953	5	72.45	18.3
1953	6	72.97	31.5
1953	7	69.83	12.7
1953	8	72.53	33.6
1953	9	74.28	28
1953	10	71.89	12.3
1953	11	68.73	2.5
1953	12	70.72	3.9
1954	1	65.68	0.4
1954	2	69.11	0.8
1954	3	71.85	15.8
1954	4	68.67	2.7
1954	5	65.36	1.2
1954	6	67.3	0.4
1954	7	67.74	7.3
1954	8	69.83	12.6
1954	9	70.1	2.3
1954	10	73.12	10.5
1954	11	72.55	13.4
1954	12	75.43	11.3
1955	1	81.23	33.4
1955	2	81.96	29.9
1955	3	71.77	7.3
1955	4	77.25	16.4
1955	5	82.74	41.3
1955	6	88.83	45.2
1955	7	87.29	38.2
1955	8	90.63	58
1955	9	95.05	60.8
1955	10	111.81	83
1955	11	130.01	126.3
1955	12	134.56	108.8
1956	1	136.61	104.1
1956	2	167.23	175.6
1956	3	160.6	167.7
1956	4	159.8	156.7
1956	5	163.38	193.4
1956	6	154	165.1
1956	7	157.21	182.7
1956	8	193.78	240.2
1956	9	200.91	245.4
1956	10	201.62	219.9
1956	11	250.36	285
1956	12	253.68	272
1957	1	223.76	233.7
1957	2	186.73	184.5
1957	3	197.76	222.8
1957	4	199.95	248
1957	5	208.53	233
1957	6	252.13	284.3
1957	7	218	265.1
