https://gain.fas.usda.gov/Recent%20GAIN%20Publications/Coffee%20Semi-annual_Sao%20Paulo%20ATO_Brazil_11-5-2018.pdf
Robusta	Coffee	Prices	on	the	Domestic	Market	(Real,	60kg/bag)
Month	2014	2015	2016	2017	2018
January	226.82	283.28	389.27	495.19	331.57
February	243.48	299.58	393.61	449.93	319.12
March	263.25	303.44	363.88	444.97	305.55
April	256.77	295.88	379.33	411.31	320.04
May	245.82	290.33	386.71	408.81	330.78
June	235.14	301.03	391.40	414.96	335.39
July	242.44	307.28	409.99	411.84	332.38
August	248.42	325.68	422.87	410.77	319.25
September	250.55	340.81	435.74	400.50	319.38
October	264.25	363.94	501.07	382.43	338.32
November	277.02	375.25	521.31	365.36	0
December	277.14	378.98	487.60	362.30	0
