http://www.solen.info/solar/old_reports/2015/july/indices.html
date as YYYYMMDD
flux Measured 2.8 GHZ Solar flux
2K Magnetic SDO number
1K Magnetic SDO sunsput number
NO NOAA sunspot number
AP STAR Ap Average
P Potsdam Planetary WDC A index
Daily Planetary Ap index
KWDC K indices at 3 hour indices (Planetary WDC)
Boulder K indices at 3 hour intervals (Boulder)
Wind Solar Wind Speed (SOHO) km/s
C Number of Solar Flares
M Number of Solar Flares
X Number of Solar Flares
date	Flux	2K	1K	NO	AP	P	Daily	KWDC	Boulder	Wind	C	M	X
20150731	100.7	151	99	71	13.3	13	5-22	32123433	33223433	359-578	 	 	 
20150730	102.0	191	131	83	11.5	12	4-32	22112343	12122333	326-410	 	 	 
20150729	100.7	185	130	66	4.5	4	3-6	11111121	221*2221	346-421	 	 	 
20150728	101.1	139	107	56	7.3	7	5-15	12223121	23332312	381-457	 	 	 
20150727	100.1	124	84	53	8.6	9	5-15	22333122	22443322	431-476	 	 	 
20150726	97.0	104	57	38	6.4	6	3-12	31121122	22131221	354-443	1	 	 
20150725	94.0	87	54	41	7.3	7	4-12	21321122	21222322	355-453	 	 	 
20150724	92.2	71	58	54	5.0	5	3-7	21112112	22212322	358-451	3	 	 
20150723	89.4	77	50	27	20.6	21	12-56	34533343	344*2233	350-486	 	 	 
20150722	89.0	93	46	35	6.3	6	3-15	10122321	12*32322	322-388	 	 	 
20150721	91.0	71	52	37	7.4	7	4-9	22222122	32332333	305-437	 	 	 
20150720	93.2	74	47	39	2.8	3	0-5	00111011	11132322	274-315	 	 	 
20150719	99.4	111	75	46	1.6	2	0-3	00010000	11121222	273-295	1	 	 
20150718	96.0	123	78	52	2.3	2	0-5	01011010	11021311	275-349	1	 	 
20150717	97.4	132	82	40	3.9	4	2-5	11111100	22223322	344-471	 	 	 
20150716	99.6	133	83	55	6.8	7	4-15	32222211	33332121	437-516	 	 	 
20150715	101.0	129	90	39	5.8	6	4-9	12112212	12121313	453-591	 	 	 
20150714	105.2	90	65	39	5.8	6	3-15	31111121	32112232	379-474	2	 	 
20150713	110.1	85	58	44	32.6	33	15-67	35543463	34543432	452-632	 	 	 
20150712	116.0	139	93	59	12.4	12	9-15	32232333	33233333	509-593	 	 	 
20150711	120.2	154	100	91	23.0	23	12-32	45443343	55533333	453-629	1	 	 
20150710	129.0	177	121	124	8.0	8	2-39	11000125	11012335	297-502	1	 	 
20150709	121.9	221	120	120	3.9	4	3-6	12111111	13122312	341-371	1	 	 
20150708	128.9	230	173	131	3.9	4	3-5	11111111	12212312	346-405	1	 	 
20150707	132.6	283	218	118	4.4	4	3-7	21111112	31122212	378-463	8	 	 
20150706	133.4	216	145	109	9.9	10	4-22	34311121	35321321	426-522	14	2	 
20150705	124.8	224	148	131	22.0	22	9-56	55233233	55233333	405-547	 	 	 
20150704	116.8	228	151	111	18.8	19	2-56	01013355	12123355	285-558	1	 	 
20150703	112.3	226	162	91	2.1	2	0-3	00101100	00112211	277-302	7	1	 
20150702	113.8	184	122	73	2.1	2	2-3	00010000	11112311	297-362	7	 	 
20150701	109.6	139	98	49	4.1	4	0-7	11112210	21122321	347-417	1	 	
